kanji,keyword,meanings,story,frequency_rank,anki_tag
名,name,"name, noted, distinguished, reputation","at an EVENING gathering, when getting to know people via the MOUTH, you always have to tell them your *name*",85,
石,stone,stone,a *stone* covers the MOUTH to a cave hidden under a CLIFF.,456,
肖,resemblance,"resemblance, rtk-primitive: spark, candle","the SMALLER the BODY of animals, the more they have a *resemblance*",2196,suspend_rare
嗅,smelled,"smell, sniff, scent",a MOUTH that STINKS even a DROP can be *smelled* across the restaurant,2360,suspend_rare
奇,strange,"strange, strangeness, curiosity","when objects are as LARGE as they CAN be, they are *strange* (e.g., scissors, doors)",1145,
妙,exquisite,"exquisite, strange, queer, mystery, miracle, excellent, delicate, charming",WOMEN have A FEW *exquisite* clothes they like best,1008,
硝,nitrate,"nitrate, saltpeter",*nitrate* can make STONES RESEMBLE through explosion,2349,suspend_rare
砕,smash,"smash, break, crush, familiar, popular","to split a STONE into NINE or TEN pieces, it's best to *smash* it",1934,suspend_rare
砂,sand,sand,STONES weighing only A FEW miligrams are *sand*,1040,
妬,jealous,"jealous, envy",a WOMAN is hiding behind a STONE to observe her lover because she's *jealous*,2165,suspend_rare
削,planes,"plane, sharpen, whittle, pare, shave",a weaponsmith achieves the RESEMBLANCE of SWORDS because he *planes* them,568,
光,rays,"ray, light",a SMALL spell (cantrip) by ONE dnd humanoid with HUMAN LEGS can cast *rays* of light,384,
太,plump,"plump, thick, big around",A LARGE person with a big DROP of sweat dripping off of him because he is so *plump*,499,
器,utensil,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set",four MOUTHS of cooks each have one LARGE opinion on what the best cooking *utensil* is in some situation,433,
臭,stinking,"stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright","when someone's *stinking*, they make ONESELFs presence LARGER than it is",1129,
省,government ministry,"government ministry, conserve, omit","when a *government ministry* is bad, it's like Big Brother having A FEW EYES above all citizens",708,
厚,thick,"thick, heavy, rich, kind, cordial, brazen, shameless","under a CLIFF, the whole DAY a CHILD sits and eats, thus becoming *thick* and heavy",975,
川,stream,"stream, river, river or three-stroke river radical (no. 47)",atomic,270,
州,state,"state, province",the Danube RIVER with THREE DROPS of cities in between might as well be a *state*,767,
順,obey,"obey, order, turn, right, docility, occasion",*obey* the orders STREAMing down from the HEAD office,282,
水,water,water,atomic,178,
氷,icicle,"icicle, ice, hail, freeze, congeal",A DROP in temperature turns WATER into an *icicle*,1333,
永,eternity,"eternity, long, lengthy","a DROP of WATER, a raindrop, coming down from the sky can be viewed as almost an *eternity*",956,
泉,spring,"spring, fountain",it looks like WHITE WATER when the bubbly water comes out of the *spring*,546,
腺,gland / Drüse,gland = Drüse,from the FLESH comes a SPRING; *gland / Drüse*,1963,suspend_rare
原,meadow,"meadow, original, primitive, field, plain, prairie, tundra, wilderness","below the CLIFF are WHITE, SMALL flowers on a *meadow*",260,
願,petition,"petition, request, vow, wish, hope","next to the MEADOW, I hang up a PAGE of my *petition* to allow wild camping on it!",248,
泳,swim,swim,"when in the middle of the ocean, all you see is WATER for ETERNITY so you just *swim*",1417,
沼,marsh,"marsh, lake, bog, swamp, pond",WATER SEDUCING a forest makes it into a *marsh*,1328,
沖,open sea,"open sea, offing, rise high into sky","in the *open sea*, I am IN the very middle of only WATER",810,
汎,pan-,pan-,"a *pan-*fish is one that is COMMONPLACE in many WATER sources (ocean, lake, river)",2114,suspend_rare
江,creek,"creek, inlet, bay",a *creek* is a CRAFT of the WATER of the ocean,814,
汰,washing,"washing, sieving, filtering, weeding out, luxury",*washing* is a daily for the PLUMP person that sweats so much WATER,1668,
汁,soup,"soup, juice, broth, sap, gravy, pus",a *soup* is when you put TEN things into the WATER and apply heat,1243,
沙,grains of sand,"rtk: grains of sand, sand","when you go into the WATER at the beach, you always get A FEW *grains of sand* in your clothes",1373,
潮,tide,"tide, salt water, opportunity","Looking at the ocean WATER in the calm MORNING, you only notice the TIDE",1319,
源,source,"source, origin",the *source* of milk is essentially grass from the MEADOW and WATER which the cow consumes,704,
活,lively,"lively, resuscitation, being helped, living",WATER on the TONGUE means the animal is *lively*,156,
消,extinguishes,"extinguish, blow out, turn off, neutralize, cancel","when you put WATER on the SPARK, it *extinguishes*",410,
況,condition,"condition, situation",the result of pouring WATER on the OLDER BROTHER depends on the *condition* or situation,472,
河,river,river,WATER CAN flow only in a *river*,943,
泊,overnight stay,"overnight stay, put up at, ride at anchor",taking a shower with WATER and using fresh WHITE bedsheets is all you beed for an *overnight stay*,610,
湖,lake,lake,retirees like puting WATER on their OLD BODY at a *lake*,1151,
測,measure,"fathom, plan, scheme, measure",in the WATER the LAW also applies to countries need *measure* their borders there as well,880,
土,soil,"soil, earth, ground, Turkey",atomic,397,
吐,spit,"spit, vomit, belch, confess, tell (lies)",from the MOUTH to the SOIL goes the *spit*,1474,
圧,pressure,"pressure, push, overwhelm, oppress, dominate","when there is much SOIL under a CLIFF, the *pressure* increases",837,
埼,cape,"cape, spit, promontory",a person with a *cape* walks on the STRANGE SOIL,1253,
垣,hedge,"hedge, fence, wall",the area of the SOIL is SPANNED by the *hedge*,1462,
填,fill in,fill in,"into the wholes in the plant pot, I *fill in* TRUE SOIL",9999,suspend_rare
