kanji	keyword	meanings	story	frequency_rank	rtk_index	stroke_svg	anki_tag
母	mother	mother	atomic	554	0101	"<img src=""06bcd.svg"">"	
貫	pierced	pierce, 8 1/3lbs, penetrate, brace	The sad fate of MOTHER SHELLFISH was to be captured and *pierced* to make an earring.	1480	0102	"<img src=""08cab.svg"">"	
兄	elder brother	elder brother, big brother	the *elder brother* can be simplified to a MOUTH with HUMAN LEGS because he commands so much	1024	0103	"<img src=""05144.svg"">"	
克	overcome	overcome, kindly, skillfully	TEN ELDER BROTHERS can *overcome* almost any problem	1639	0104	"<img src=""0514b.svg"">"	
小	little	little, small	atomic	133	0105	"<img src=""05c0f.svg"">"	
少	few	few, little	atomic	196	0106	"<img src=""05c11.svg"">"	
大	large	large, big	atomic	7	0107	"<img src=""05927.svg"">"	
多	many	many, frequent, much	drinking TWO EVENINGS in a row is *many*	138	0108	"<img src=""0591a.svg"">"	
夕	evening	evening	atomic	756	0109	"<img src=""05915.svg"">"	
汐	eventide	eventide, tide, salt water, opportunity	the EVENING by the WATER = *eventide* (just a poetic evening)	9999	0110	"<img src=""06c50.svg"">"	suspend_rare
外	outside	outside	In Minecraft, when *outside* in the EVENING, you need to protect yourself with a MAGIC WAND	125	0111	"<img src=""05916.svg"">"	
名	name	name, noted, distinguished, reputation	at an EVENING gathering, when getting to know people via the MOUTH, you always have to tell them your *name*	85	0112	"<img src=""0540d.svg"">"	
石	stone	stone	a *stone* covers the MOUTH to a cave hidden under a CLIFF.	456	0113	"<img src=""077f3.svg"">"	
肖	resemblance	resemblance, rtk-primitive: spark, candle	the SMALLER the BODY of animals, the more they have a *resemblance*	2196	0114	"<img src=""08096.svg"">"	suspend_rare
硝	nitrate	nitrate, saltpeter	*nitrate* can make STONES RESEMBLE through explosion	2349	0115	"<img src=""0785d.svg"">"	suspend_rare
砕	smash	smash, break, crush, familiar, popular	to split a STONE into NINE or TEN pieces, it's best to *smash* it	1934	0116	"<img src=""07815.svg"">"	suspend_rare
砂	sand	sand	STONES weighing only A FEW miligrams are *sand*	1040	0117	"<img src=""07802.svg"">"	
削	planes	plane, sharpen, whittle, pare, shave	a weaponsmith achieves the RESEMBLANCE of SWORDS because he *planes* them	568	0118	"<img src=""0524a.svg"">"	
光	rays	ray, light	a SMALL spell (cantrip) by ONE dnd humanoid with HUMAN LEGS can cast *rays* of light	384	0119	"<img src=""05149.svg"">"	
太	plump	plump, thick, big around	A LARGE person with a big DROP of sweat dripping off of him because he is so *plump*	499	0120	"<img src=""0592a.svg"">"	
器	utensil	utensil, vessel, receptacle, implement, instrument, ability, container, tool, set	four MOUTHS of cooks each have one LARGE opinion on what the best cooking *utensil* is in some situation	433	0121	"<img src=""05668.svg"">"	
臭	stinking	stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright	when someone's *stinking*, they make ONESELFs presence LARGER than it is	1129	0122	"<img src=""081ed.svg"">"	
妙	exquisite	exquisite, strange, queer, mystery, miracle, excellent, delicate, charming	WOMEN have A FEW *exquisite* clothes they like best	1008	0123	"<img src=""05999.svg"">"	
省	government ministry	government ministry, conserve, omit	when a *government ministry* is bad, it's like Big Brother having A FEW EYES above all citizens	708	0124	"<img src=""07701.svg"">"	
厚	thick	thick, heavy, rich, kind, cordial, brazen, shameless	under a CLIFF, the whole DAY a CHILD sits and eats, thus becoming *thick* and heavy	975	0125	"<img src=""0539a.svg"">"	
奇	strange	strange, strangeness, curiosity	when objects are as LARGE as they CAN be, they are *strange* (e.g., scissors, doors)	1145	0126	"<img src=""05947.svg"">"	
川	stream	stream, river, river or three-stroke river radical (no. 47)	atomic	270	0127	"<img src=""05ddd.svg"">"	
州	state	state, province	the Danube RIVER with THREE DROPS of cities in between might as well be a *state*	767	0128	"<img src=""05dde.svg"">"	
順	obey	obey, order, turn, right, docility, occasion	*obey* the orders STREAMing down from the HEAD office	282	0129	"<img src=""09806.svg"">"	
水	water	water	atomic	178	0130	"<img src=""06c34.svg"">"	
氷	icicle	icicle, ice, hail, freeze, congeal	A DROP in temperature turns WATER into an *icicle*	1333	0131	"<img src=""06c37.svg"">"	
永	eternity	eternity, long, lengthy	a DROP of WATER, a raindrop, coming down from the sky can be viewed as almost an *eternity*	956	0132	"<img src=""06c38.svg"">"	
泉	spring	spring, fountain	it looks like WHITE WATER when the bubbly water comes out of the *spring*	546	0133	"<img src=""06cc9.svg"">"	
原	meadow	meadow, original, primitive, field, plain, prairie, tundra, wilderness	below the CLIFF are WHITE, SMALL flowers on a *meadow*	260	0134	"<img src=""0539f.svg"">"	
願	petition	petition, request, vow, wish, hope	next to the MEADOW, I hang up a PAGE of my *petition* to allow wild camping on it!	248	0135	"<img src=""09858.svg"">"	
泳	swim	swim	when in the middle of the ocean, all you see is WATER for ETERNITY so you just *swim*	1417	0136	"<img src=""06cf3.svg"">"	
沼	marsh	marsh, lake, bog, swamp, pond	WATER SEDUCING a forest makes it into a *marsh*	1328	0137	"<img src=""06cbc.svg"">"	
沖	open sea	open sea, offing, rise high into sky	in the *open sea*, I am IN the very middle of only WATER	810	0138	"<img src=""06c96.svg"">"	
江	creek	creek, inlet, bay	a *creek* is a CRAFT of the WATER of the ocean	814	0139	"<img src=""06c5f.svg"">"	
汁	soup	soup, juice, broth, sap, gravy, pus	a *soup* is when you put TEN things into the WATER and apply heat	1243	0140	"<img src=""06c41.svg"">"	
潮	tide	tide, salt water, opportunity	Looking at the ocean WATER in the calm MORNING, you only notice the TIDE	1319	0141	"<img src=""06f6e.svg"">"	
源	source	source, origin	the *source* of milk is essentially grass from the MEADOW and WATER which the cow consumes	704	0142	"<img src=""06e90.svg"">"	
活	lively	lively, resuscitation, being helped, living	WATER on the TONGUE means the animal is *lively*	156	0143	"<img src=""06d3b.svg"">"	
消	extinguishes	extinguish, blow out, turn off, neutralize, cancel	when you put WATER on the SPARK, it *extinguishes*	410	0144	"<img src=""06d88.svg"">"	
況	condition	condition, situation	the result of pouring WATER on the OLDER BROTHER depends on the *condition* or situation	472	0145	"<img src=""06cc1.svg"">"	
河	river	river	WATER CAN flow only in a *river*	943	0146	"<img src=""06cb3.svg"">"	
泊	overnight stay	overnight stay, put up at, ride at anchor	taking a shower with WATER and using fresh WHITE bedsheets is all you beed for an *overnight stay*	610	0147	"<img src=""06cca.svg"">"	
湖	lake	lake	retirees like puting WATER on their OLD BODY at a *lake*	1151	0148	"<img src=""06e56.svg"">"	
測	measure	fathom, plan, scheme, measure	in the WATER the LAW also applies to countries need *measure* their borders there as well	880	0149	"<img src=""06e2c.svg"">"	
土	soil	soil, earth, ground, Turkey	atomic	397	0150	"<img src=""0571f.svg"">"	
吐	spit	spit, vomit, belch, confess, tell (lies)	from the MOUTH to the SOIL goes the *spit*	1474	0151	"<img src=""05410.svg"">"	
圧	pressure	pressure, push, overwhelm, oppress, dominate	when there is much SOIL under a CLIFF, the *pressure* increases	837	0152	"<img src=""05727.svg"">"	
