kanji	keyword	meanings	story	frequency_rank	rtk_index	stroke_svg	anki_tag
裁	tailored	tailor, judge, decision, cut out (pattern)	for THANKSGIVING, the GARMENTS that I wear are *tailored* to me!	1069	0397	"<img src=""088c1.svg"">"	
装	attire	attire, dress, pretend, disguise, profess	Only a ROBUST GARMENT is worthy of being called *attire*	515	0398	"<img src=""088c5.svg"">"	
裏	back	back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side	I'll be *back*!\nsays the COMPUTER Terminator, disguised with a TOP HAT and a SCARF	751	0399	"<img src=""088cf.svg"">"	
壊	demolished	demolition, break, destroy	the SOIL was *demolished* during a fight between a TEN EYED monster and Frieren with the nice GARMENT	964	0400	"<img src=""058ca.svg"">"	
哀	pathetic	pathetic, grief, sorrow, pathos, pity, sympathize	the TALL person with a SCARF (hc strache) is *pathetic*	1554	0401	"<img src=""054c0.svg"">"	
遠	distant	distant, far	the exotic LIDDED CROCK wrapped in a SCARF which I found on the ROAD must be from a merchant of a *distant* place	652	0402	"<img src=""09060.svg"">"	
猿	monkey	monkey	To catch a *monkey*, chase him with WILD DOGS into a LIDDED CROCK, then tie it with a SCARF	1845	0403	"<img src=""0733f.svg"">"	suspend_rare
初	first time	first time, beginning	everyone has a *first time* polytopia game where a CLOAK infiltrates their city and spawns a bunch of DAGGERS	172	0404	"<img src=""0521d.svg"">"	
布	linen	linen, cloth, spread, distribute	by his SIDE, the Roman landlord always has a TOWEL made from *linen* to protect him from the sun if needed	663	0405	"<img src=""05e03.svg"">"	
帆	sailing	sail	a TOWEL is pretty MEDIOCRE for *sailing*	1971	0406	"<img src=""05e06.svg"">"	suspend_rare
幅	hanging scrolls	hanging scroll, width	instead of a TOWEL, the WEALTHY people use *hanging scrolls* to dry off	885	0407	"<img src=""05e45.svg"">"	
帽	cap	cap, headgear	arabs sometimes wear a TOWEL as a *cap* to avoid the RISK of a sunburn	1505	0408	"<img src=""05e3d.svg"">"	
幕	curtain	curtain, bunting, act of play	There is a GRAVEYARD outside my house that scares me, so I put a huge TOWEL over the window to serve as a *curtain* so I can get a good nights sleep.	1174	0409	"<img src=""05e55.svg"">"	
幌	canopy	canopy = Festival pavillon, awning, hood, curtain	just span a large TOWEL over heads at the festival to shield us from the SUN'S RAYS as a *canopy*	1237	0410	"<img src=""05e4c.svg"">"	
錦	Brocade	brocade, fine dress, honors	*Brocade* is the art of sewing GOLD on a WHITE TOWEL	1806	0411	"<img src=""09326.svg"">"	suspend_rare
市	market	market, city, town	a *market* depends heavily on the audience. the stock market in 1930s America was full of people with TOP HATS and one in ancient rome had customers wearing TOWELS	122	0412	"<img src=""05e02.svg"">"	
姉	elder sister	elder sister	the WOMAN which goes to the MARKET to buy things for the household is the *elder sister*	1079	0413	"<img src=""059c9.svg"">"	
肺	lungs	lungs	the *lungs* are the BODY'S MARKET - exchanging o2 for co2	1864	0414	"<img src=""080ba.svg"">"	suspend_rare
帯	sash	sash = Band zum umbinden, belt, obi, zone, region	when you go to Japan's number ONE MOUNTAIN ryokan you get a nice *sash* (obi). you can use it to fasten your yukata but also you can tie it to your CROWN or fasten your TOWEL	307	0415	"<img src=""05e2f.svg"">"	
滞	stagnate	stagnate, be delayed, overdue, arrears	i put WATER on the SASH to  *stagnate* the checkout procedure at the number one ryokan	1239	0416	"<img src=""06ede.svg"">"	
刺	Thorns	thorn, pierce, stab, prick, sting, calling card	*Thorns* grow on a bush here that has wrapped itself around a TREE like a BELT, cutting into it like a SABER	959	0417	"<img src=""0523a.svg"">"	
制	system	system, law, rule	It's a cruel *system* for COWS: the leather (so around the cow) is used for making a BELT and the inside is cut using a SABER to make beef	306	0418	"<img src=""05236.svg"">"	
製	made in	made in..., manufacture	we live in a globalized SYSTEM and know where certain GARMENTS are *made in* - often Bangladesh or India	338	0419	"<img src=""088fd.svg"">"	
転	revolving	revolve, turn around, change	the CAR's wheels are *revolving* and hence the RISING CLOUDS appear	279	0420	"<img src=""08ee2.svg"">"	
芸	technique	technique, art, craft, performance, acting, trick, stunt	creating FLOWER-like RISING CLOUDS, so fireworks, requires a good *technique*	718	0421	"<img src=""082b8.svg"">"	
雨	rain	rain	from the CEILING hangs a wet TOWEL from which 4 DROPS are coming down, simulating *rain*	578	0422	"<img src=""096e8.svg"">"	
雲	cloud	cloud	from the RAIN water, the RISING CLOUD creates another regular *cloud*	1177	0423	"<img src=""096f2.svg"">"	
曇	cloudy weather	cloudy weather, cloud up	the SUN is obstructed by CLOUDS, hence it's *cloudy weather*	1622	0424	"<img src=""066c7.svg"">"	
雷	thunder	thunder, lightning bolt	imagine it's RAINING and you're on the RICE FIELD. if you hear a *thunder*, better seek shelter!	1531	0425	"<img src=""096f7.svg"">"	
霜	frost	frost	*frost* is kind of an INTER-weather phenomenon, something between RAIN and freezing temp’s.	2278	0426	"<img src=""0971c.svg"">"	suspend_rare
冬	winter	winter	the WALKING LEGS slip easily on ICE during *winter*	923	0427	"<img src=""051ac.svg"">"	
天	heavens	heavens, sky, imperial	the *heavens* is the BIG CEILING for our souls	155	0428	"<img src=""05929.svg"">"	
橋	bridge	bridge	the *bridge* made from WOOD is guarded by a ANGEL	693	0429	"<img src=""06a4b.svg"">"	
嬌	attractive	attractive	the WOMAN ANGEL was certainly *attractive*	9999	0430	"<img src=""05b0c.svg"">"	suspend_rare
立	stand up	stand up, rise, set up, erect	atomic	139	0431	"<img src=""07acb.svg"">"	
泣	crying	cry, weep, moan	Guys have two ways of WATERing when they are STANDING, the less common one is *crying*	886	0432	"<img src=""06ce3.svg"">"	
章	badge	badge, chapter, composition, poem, design	at the quiz show, when you STAND UP EARLY and get the right answer, you get a *badge*	709	0433	"<img src=""07ae0.svg"">"	
競	compete with	compete with, emulate, bid, sell at auction, bout, contest, race	the two ELDER BROTHERS each STAND UP and *compete with* each other which one is taller	747	0434	"<img src=""07af6.svg"">"	
帝	sovereign	sovereign, the emperor, god, creator	The mad *sovereign* STANDS UP and stands directly on the CROWN, which he disrespects, and is wearing only a TOWEL	1355	0435	"<img src=""05e1d.svg"">"	
童	juvenile	juvenile, child	the *juvenile* people frequently use their mobile COMPUTERS (smartphones) while STANDING UP	1143	0436	"<img src=""07ae5.svg"">"	
瞳	pupils	pupil (of eye)	In Japanese comics, the EYE's of JUVENILES all have enormous *pupils*	1709	0437	"<img src=""077b3.svg"">"	
鐘	bell	bell, gong, chimes	The METAL *bell* rings to call the JUVENILES to class.	2046	0438	"<img src=""09418.svg"">"	suspend_rare
商	makes a deal	make a deal, selling, dealing in, merchant	the shady guy in the back STANDS UP, puts on his HOOD and *makes a deal* over HUMAN LEGS (human trafficking) and things for the MOUTH (drugs)	29	0439	"<img src=""05546.svg"">"	
嫡	legitimate wife	legitimate wife, direct descent (non-bastard)	the *legitimate wife* is the WOMAN who has been with you since the ANTIQUE times	3118	0440	"<img src=""05ae1.svg"">"	suspend_rare
適	suitable	suitable, occasional, rare, qualified, capable	the ANTIQUE vehicle is surprisingly still *suitable* for the ROAD	393	0441	"<img src=""09069.svg"">"	
滴	drip	drip, drop	drinking WATER from the ANTIQUE chalice has a lot of *drip*	1877	0442	"<img src=""06ef4.svg"">"	suspend_rare
敵	enemies	enemy, foe, opponent	the ANTIQUE TASKMASTER has a lot of *enemies*	695	0443	"<img src=""06575.svg"">"	
北	north	north	The cold air from the *north* is so strong that we see two people SITTING ON THE GROUND with their BACKS pressed against one another	339	0445	"<img src=""05317.svg"">"	
背	stature	stature, height, back, behind, disobey, defy, go back on, rebel	in the NORTH of Europe, the BODIES of humans have a high *stature*	862	0446	"<img src=""080cc.svg"">"	
比	comparing	compare, race, ratio, Philippines	With TWO SPOONS, one in each hand, you are *comparing* your soup and your partners	386	0447	"<img src=""06bd4.svg"">"	
昆	descendants	descendants, elder brother, insect	Grandparent spends all DAY COMPARING photos of their *descendants*	1625	0448	"<img src=""06606.svg"">"	
皆	all	all, everything	*all* detergents claim that, when COMPARING to other brands, they produce the WHITEST laundry.	449	0449	"<img src=""07686.svg"">"	
混	mixing	mix, blend, confuse	*mixing* the WATER and other fluids with a partner can lead to new DESCENDANTS	863	0450	"<img src=""06df7.svg"">"	
渇	thirsty	thirst, dry up, parch	You awaken from your SIESTA because you feel extremely *thirsty* so you go looking for some WATER.	2224	0451	"<img src=""06e07.svg"">"	suspend_rare
謁	audience	audience, audience (with king)	the person at the birthday party was saying WORDS while having a SIESTA (i.e. sleeptalking) - which drew a considerable *audience*	3439	0452	"<img src=""08b01.svg"">"	suspend_rare
褐	brown	brown, woollen kimono	in the *brown* CLOAK, the monk was having his SIESTA	2511	0453	"<img src=""08910.svg"">"	suspend_rare
喝	hoarse	hoarse = heiser, scold	you are *hoarse* after the concert? let your MOUTH have a SIESTA and don't talk for a few hours	2235	0454	"<img src=""0559d.svg"">"	suspend_rare
旨	delicious	delicious, relish, show a liking for, purport, will, clever, expert	"Each time he had a SPOONful of his food, Rengoku, hashira of the SUN and flame, said: ""*delicious*"" (うまい！)"	1131	0455	"<img src=""065e8.svg"">"	
脂	fat	fat, grease, tallow, lard, rosin, gum, tar	the BODY parts of many animals which are considered the most DELICIOUS are usually the ones with the most *fat*	1138	0456	"<img src=""08102.svg"">"	
壱	one	one (in documents)	The SAMURAI who has been CROWNED number *one* is so good he uses a SPOON to fight with rather than a sword.	2126	0457	"<img src=""058f1.svg"">"	suspend_rare
毎	every	every	*every* MOTHER looks forward to the end of the day when she can finally LIE DOWN	365	0458	"<img src=""06bce.svg"">"	
敏	cleverness	cleverness, agile, alert	EVERY TASKMASTER has a certain *cleverness*	1522	0459	"<img src=""0654f.svg"">"	
梅	plum	plum	EVERY old WOODEN bento box has a sour *plum* inside it	890	0460	"<img src=""06885.svg"">"	
海	sea	sea, ocean	the WATER around EVERY continent is the *sea*	212	0461	"<img src=""06d77.svg"">"	
乞	begging	beg, invite, ask	See someone LYING DOWN in a public place with a HOOK in place of a hand, *begging* for some rice	2325	0462	"<img src=""04e5e.svg"">"	suspend_rare
乾	drought	drought, dry, desiccate, drink up, heaven, emperor	the pirates have to deal with so much MIST during their expedition, they actually start BEGGING for a *drought* in the Caribbeans	1117	0463	"<img src=""04e7e.svg"">"	
腹	abdomen	abdomen, belly, stomach	the part of the FLESH which should GO BACK on its weight is usually the *abdomen*	883	0464	"<img src=""08179.svg"">"	
複	duplicate	duplicate, double, compound, multiple	at the Halloween party, someone was wearing a *duplicate* CLOAK of mine, so i GO BACK and change one more time	706	0465	"<img src=""08907.svg"">"	
欠	lacked	lack, gap, fail, yawning radical (no. 76)	the GREAT PERSON Galileo was BOUND UP on a rope because he *lacked* faith in the Christian beliefs of earth-centrism	971	0466	"<img src=""06b20.svg"">"	
吹	blow	blow, breathe, puff, emit, smoke	you *blow* through your MOUTH and then it LACKS air	1006	0467	"<img src=""05439.svg"">"	
炊	cooking	cook, boil	Japanese *cooking* sometimes LACKS FIRE, e.g., sashimi.	1506	0468	"<img src=""0708a.svg"">"	
歌	sing	song, sing	the young girl CAN *sing* and CAN perform the song but she LACKS courage and such things	465	0469	"<img src=""06b4c.svg"">"	
軟	soft	soft	the CAR's tire LACKS air and has become *soft*	1538	0470	"<img src=""08edf.svg"">"	
次	next	next, order, sequence	this ICE cream flavor LACKS appeal... I'll look at the *next* one	192	0471	"<img src=""06b21.svg"">"	
茨	Dornen	Dornen, briar, thorn	To prevent animals from eating the beautiful FLOWERS in your garden, the best thing to do is to plant *Dornen* bushes immediately NEXT to them.	1516	0472	"<img src=""08328.svg"">"	
資	assets	assets, resources, capital, funds, data, be conducive to, contribute to	once I have leftover MONEY, the NEXT thing I do is place them into some *assets*	252	0473	"<img src=""08cc7.svg"">"	
姿	figure	figure, form, shape	I'm standing closely NEXT to the WOMAN on the train. Hence, I can only see her *figure* but not her face	765	0474	"<img src=""059ff.svg"">"	
諮	consult with	consult with	": ""Consulting with"" is having WORDS with the NEXT MOUTH."	2369	0475	"<img src=""08aee.svg"">"	suspend_rare
賠	compensation	compensation, indemnify	this MONEY you get for STANDING UP for me with your MOUTH, you can consider it your *compensation*	1857	0476	"<img src=""08ce0.svg"">"	suspend_rare
培	cultivate	cultivate, foster	the farmers *cultivate* their SOIL and they will STAND UP for it with their MOUTHS if push comes to shove	1348	0477	"<img src=""057f9.svg"">"	
剖	divide	divide	when people STAND UP for something with their MOUTH and also a SABER, that will create a *divide* among supporters	2335	0478	"<img src=""05256.svg"">"	suspend_rare
音	sound	sound, noise	imagine the screaming *sound* one would make if they were STANDING on top of the SUN	250	0479	"<img src=""097f3.svg"">"	
暗	darkness	darkness, disappear, shade, informal, grow dark, be blinded	When *darkness* covered the earth at the beginning of time, there was neither SUN nor SOUND	905	0480	"<img src=""06697.svg"">"	
韻	rhymes	rhyme, elegance, tone	the SOUNDS which the EMPLOYEE makes are playful *rhymes* to please the customer	2214	0481	"<img src=""097fb.svg"">"	suspend_rare
識	discriminate	discriminate, know, write	WORDS are difficult to *discriminate* from SOUNDS in the middle of a FIESTA.	458	0482	"<img src=""08b58.svg"">"	
鏡	mirror	mirror, speculum, barrel-head, round rice-cake offering	the *mirror* has a METAL frame and you can STAND UP in front of it and SEE yourself	1229	0483	"<img src=""093e1.svg"">"	
境	boundary	boundary, border, region	if you are on SOIL which is close to the *boundary*/border of your country, you can STAND UP and SEE over to the other side	482	0484	"<img src=""05883.svg"">"	
亡	deceased	deceased, the late, dying, perish	A TOP HAT hanging on a HOOK in the front hall, right where the *deceased* left it the day he died	1142	0485	"<img src=""04ea1.svg"">"	
盲	blind	blind, blind man, ignoramus	the EYES have DECEASED so the person is now *blind*	2059	0486	"<img src=""076f2.svg"">"	suspend_rare
妄	delusion	delusion, unnecessarily, without authority, reckless	Romeo held the *delusion* that Juliet was a DECEASED WOMAN.	1613	0487	"<img src=""05984.svg"">"	
荒	laid waste	laid waste = verwüsten, rough, rude, wild	After Godzilla *laid waste* to the city, the survivors put some FLOWERS on the bodies of the DECEASED and floated their bodies down the STREAM.	1106	0488	"<img src=""08352.svg"">"	
望	ambition	ambition, full moon, hope, desire, aspire to, expect	DEAD BODIES were the result of the KING'S stupid *ambition*	373	0489	"<img src=""0671b.svg"">"	
方	direction	direction, person, alternative	the pirate BINDS UP their TOP HAT so it's more pointy and points it into the *direction* to which the ship is headed, also determined by the *compass*	12	0490	"<img src=""065b9.svg"">"	
妨	disturb	disturb, prevent, hamper, obstruct	an attractive WOMAN can easily *disturb* the moral COMPASS of someone	1967	0491	"<img src=""059a8.svg"">"	suspend_rare
坊	boy	boy, priest's residence, priest	on the SOIL of his grandparents house, the *boy* is playing with a COMPASS that his grandparents gifted him	1269	0492	"<img src=""0574a.svg"">"	
芳	perfumes	perfume, balmy, favorable, fragrant	Here we see a special COMPASS used to pick out those FLOWERS most suited for making good *perfumes*	1637	0493	"<img src=""082b3.svg"">"	
肪	obese	obese, fat	the FLESH extends into multiple DIRECTIONS when you become *obese*	1422	0494	"<img src=""080aa.svg"">"	
訪	calls on	call on, visit, look up, offer sympathy	the teacher *calls on* a student who is identified by the pointing DIRECTION of her finger to SAY something	749	0495	"<img src=""08a2a.svg"">"	
放	sets free	set free, release, fire, shoot, emit, banish, liberate	all you have is a COMPASS. the TASKMASTER gives you the challenge to catch an animal which he *sets free* in the woods	413	0496	"<img src=""0653e.svg"">"	
激	violent	violent, get excited, enraged, chafe, incite	the TASKMASTER who works in the WATER with a WHITE COMPASS is a *violent* pirate	674	0497	"<img src=""06fc0.svg"">"	
脱	undressed	undress, removing, escape from, get rid of, be left out, take off	the DEVIL likes your FLESH and wants to eat you *undressed*	940	0498	"<img src=""08131.svg"">"	
説	opinion	opinion, theory, explanation, rumor	the WORDS of the DEVIL on your shoulder make you doubt your *opinion*	281	0499	"<img src=""08aac.svg"">"	
鋭	pointed	pointed, sharpness, edge, weapon, sharp, violent	the METAL trident which the DEVIL is holding is... *pointed* at you	1704	0500	"<img src=""092ed.svg"">"	
曽	Formerly	formerly, once, before, ever, never, ex-	*Formerly*, HORNED animals were used to plough the RICE FIELD, and it took all DAY. Nowadays it's done by machine.	1847	0501	"<img src=""066fd.svg"">"	suspend_rare
増	increase	increase, add, augment, gain, promote	Prices always *increase* for LAND that was FORMERLY cheaper.	483	0502	"<img src=""05897.svg"">"	
贈	presents	presents, send, give to, award to, confer on, presenting something	MONEY is what I get for christmas nowadays. FORMERLY i received *presents*	1089	0503	"<img src=""08d08.svg"">"	
東	east	east	Through the TREES, I watch the SUN rising from the *east*	208	0504	"<img src=""06771.svg"">"	
棟	ridgepole	ridgepole = horizontaler Balken oben am Dach, ridge	Feng Shui states that the *ridgepole* of a house should be made of WOOD and face EAST	1602	0505	"<img src=""068df.svg"">"	
凍	frozen	frozen, congeal, refrigerate	EASTERN Siberia is often *frozen* by ICE	1289	0506	"<img src=""051cd.svg"">"	
妊	pregnancy	pregnancy	a WOMAN can be a PORTER for a child during *pregnancy*	1272	0507	"<img src=""0598a.svg"">"	
廷	courts	courts, imperial court, government office	when the judges who work in the *courts* only act as PORTERS to a corrupt politician, they will STRETCH the law if needed	2063	0508	"<img src=""05ef7.svg"">"	suspend_rare
染	dye	dye, color, paint, stain, print	To make this *dye*, I used WATER and the barks of nine different TREES.	914	0509	"<img src=""067d3.svg"">"	
燃	burn	burn, blaze, glow	the Japanese are very particular about what SORT OF THING can *burn* in the FIRE	1101	0510	"<img src=""071c3.svg"">"	
賓	V.I.P.	V.I.P., guest	This HOUSE is reserved to *V.I.P.* only. To enter, you need to be ONE of the FEW with enough MONEY	2475	0511	"<img src=""08cd3.svg"">"	suspend_rare
歳	year-end	year-end, age, occasion, opportunity	Santa had to STOP a MARCH of LITTLE guys, namely elves. They were protesting the harsh treatment they get every *year-end* when Santa asks them to step up toy production for the holiday season.	598	0512	"<img src=""06b73.svg"">"	
県	prefecture	prefecture	imagine a new Japanese *prefecture* which has a tradition of fishing. Its flag has a FISHHOOK with a LITTLE tuna on it (a big one wouldn't fit) and the EYE of the tuna is all RED, like in the Japanese flag	245	0513	"<img src=""0770c.svg"">"	
栃	horse chestnut	horse chestnut, (kokuji)	the *horse chestnut*:\n- horse because Jin Sakai jumps down the CLIFF TEN THOUSAND times\n- chestnut because it's a TREE	1700	0514	"<img src=""06803.svg"">"	
地	ground	ground, earth	The SOIL is littered with SCORPIONS everywhere and no ones dares put their foot on the *ground*	42	0515	"<img src=""05730.svg"">"	
池	pond	pond, cistern, pool, reservoir	the WATER SCORPION likes living in the *pond*	868	0516	"<img src=""06c60.svg"">"	
虫	insect	insect, bug, temper	atomic	1004	0517	"<img src=""0866b.svg"">"	
蛍	lightning bugs	lightning-bug, firefly	in Grave of the Fireflies, the siblings didn't go to the SCHOOLHOUSE and instead played with INSECTS such as *lightning bugs* (to light up their home)	1955	0518	"<img src=""086cd.svg"">"	suspend_rare
蛇	snake	snake, serpent, hard drinker	I use a SPOON to feed my pet-*snake* INSECTS in the HOUSE	1797	0519	"<img src=""086c7.svg"">"	
虹	rainbow	rainbow	For my arts and CRAFTs project at school, I used dead INSECTS to paint a *rainbow* - the teacher was not amused	1875	0520	"<img src=""08679.svg"">"	suspend_rare
蝶	butterfly	butterfly	A *butterfly* is an INSECT that appears after spending a GENERATION on a TREE as a cocoon.	1779	0521	"<img src=""08776.svg"">"	
独	single	single, alone, spontaneously, Germany	The bachelor's apartment looked like it had been attacked by a pack of WILD DOGS. There were even INSECTS in the kitchen. No wonder he's *single*	626	0522	"<img src=""072ec.svg"">"	
蚕	silkworms	silkworm	In China it was believed that the *silkworms* were INSECTS sent from HEAVEN because of the beautiful material they produced.	2697	0523	"<img src=""08695.svg"">"	suspend_rare
風	WIND	wind, air, style, manner	The *WIND* usually carries things around in it - DROPS of rain or snow, and lots of INSECTS.	230	0524	"<img src=""098a8.svg"">"	
己	self	self	atomic	922	0525	"<img src=""05df1.svg"">"	
起	wake it up	wake up, rouse, get up	Be careful when you RUN through the jungle, because you might step on a SNAKE and *wake it up*	429	0526	"<img src=""08d77.svg"">"	
妃	queen	queen, princess	the WOMAN who supposedly killed herself with a SNAKE is *queen* Cleopatra	2217	0527	"<img src=""05983.svg"">"	suspend_rare
改	reformation	reformation, change, modify, mend, renew, examine, inspect, search	The TASKMASTER of Slytherin ( wizardry house symbolized by a SNAKE ) plans a *reformation* of Hogwarts, disallowing the study of magic to all muggle-born.	431	0528	"<img src=""06539.svg"">"	
記	scribe	scribe, account, narrative	the WORDS of the SNAKE had to be written down by a *scribe* because the snake has no hands!	30	0529	"<img src=""08a18.svg"">"	
包	wrapping	wrap, pack up, cover, conceal	The SNAKE BOUND UP its prey by *wrapping* his body around it.	907	0530	"<img src=""05305.svg"">"	
胞	placenta	placenta, sac, sheath	Imagine a newborn baby, fresh out of the womb, being entirely WRAPPED by the long piece of FLESH, called a *placenta*, that once fed him.	1429	0531	"<img src=""080de.svg"">"	
砲	Cannon	cannon, gun	*Cannon* = STONE projectile WRAPPED by a barrel.	1741	0532	"<img src=""07832.svg"">"	
泡	bubble	bubbles, foam, suds, froth	When WATER forms a *bubble*, it WRAPS a pocket of air.	1501	0533	"<img src=""06ce1.svg"">"	
亀	turtle	tortoise, turtle	if it's not BOUND UP in a net or caught on a FISHHOOK, the *turtle* can live from DAY to DAY for a very long long time	1301	0534	"<img src=""04e80.svg"">"	
電	electric	electricity	It's unwise to stand in the RAIN while holding an *electric* EEL. Picture getting struck by lightning because of this.	166	0535	"<img src=""096fb.svg"">"	
竜	dragon	dragon, imperial	imagine some people in a row STANDING UP, holding up a big lengthy creature like an EEL - suddenly it looks like a Chinese *dragon*	1306	0536	"<img src=""07adc.svg"">"	
滝	waterfall	waterfall, rapids, cascade	the DRAGON was spewing WATER and it came out like a *waterfall*	1415	0537	"<img src=""06edd.svg"">"	
豚	pork	pork, pig	When a mother pig nurses its piglets, we call it a SOW. When that same mother pig's FLESH is on our plates, we call it *pork*	1223	0538	"<img src=""08c5a.svg"">"	
逐	pursuing	pursue, drive away, chase, accomplish, attain, commit	In association with consummate, our SOW is on the ROAD *pursuing* a mate.	2418	0539	"<img src=""09010.svg"">"	suspend_rare
遂	accomplishing	accomplish, consummate, accomplish, attain, commit (suicide)	Imagine a HORNED SOW = the imp from Homm V,  and it sits on the ROAD and wants to prevent you from *accomplishing* your goal	1461	0540	"<img src=""09042.svg"">"	
家	HAUS	house, home, family, professional, expert, performer	die drei kleinen Schweinchen (i.e. SOWS) bauen sich ein *HAUS*	101	0541	"<img src=""05bb6.svg"">"	
嫁	marry into	marry into, bride	Traditionally, it was the WOMEN who would *marry into* the HOUSEholds of their husband's families.	1363	0542	"<img src=""05ac1.svg"">"	
豪	overpowering	overpowering, great, powerful, excelling, Australia	the TALL CROWNED PIG in the video game was an *overpowering* endboss	1167	0543	"<img src=""08c6a.svg"">"	
腸	intestines	intestines, guts, bowels, viscera	the most interesting BODY part of a PIGGY BANK are of course the *intestines* - because it's money!	1509	0544	"<img src=""08178.svg"">"	
場	location	location, place	You're looking for a good *location* to bury your PIGGY BANK savings. It has to be in some soft SOIL that's easy to dig up, well hidden, and easy to rememger like this kanji.	22	0545	"<img src=""05834.svg"">"	
湯	hot water	hot water, bath, hot spring	Imagine a *hot water* kettle for your tea, except this one is a pink PIGGY BANK that pours the WATER from its snout (and squeals when the water is piping hot). Make sure to use a potholder	790	0546	"<img src=""06e6f.svg"">"	
羊	sheep	sheep	atomic	1631	0547	"<img src=""07f8a.svg"">"	
美	beautiful	beauty, beautiful	from a LARGE SHEEP you can make lots of *beautiful* clothes	191	0548	"<img src=""07f8e.svg"">"	
洋	ocean	ocean, sea, foreign, Western style	This kanji refers to the WATERS of the PaSHEEPhic ocean.	691	0549	"<img src=""06d0b.svg"">"	
詳	detail	detailed, full, minute, accurate, well-informed	the WORDS of the SHEEP are explaining in great *detail* where the wolf is supposed to be	184	0550	"<img src=""08a73.svg"">"	
鮮	fresh	fresh, vivid, clear, brilliant, Korea	"The kanji gives 2 examples of foods that should be purchased *fresh*. To remember which foods, take the first letter of fresh, ""F"", to stand for fish and the final sound of fresh, ""SH"", to stand for sheep: FreSH. It even puts the primitives in the right order."	831	0551	"<img src=""09bae.svg"">"	
達	accomplished	accomplished, reach, arrive, attain	Dolly (the first cloned SHEEP ever) grow tired of being a celebrity and escaped from the labs by digging a tunnel. She turned out to be an *accomplished* escapist, as she managed to dig a ROAD under the SOIL.	213	0552	"<img src=""09054.svg"">"	
羨	envious	envious, be jealous, covet	A very thirsty SHEEP, who always LACKED WATER, spends his days watching his fellow sheep (in the farm next door or in another pen) and being very *envious* of their water.	1840	0553	"<img src=""07fa8.svg"">"	suspend_rare
差	distinctions	distinction, difference, variation, discrepancy, margin, balance	This New-Zealand pro-gamer has won many *distinctions* playing WOOL CRAFT	595	0554	"<img src=""05dee.svg"">"	
着	put on	put on, don, arrive, wear, counter for suits of clothing	i *put on* some WOOLen clothes to conform with the public EYE of society	200	0555	"<img src=""07740.svg"">"	
唯	solely	solely, only, merely, simply	Sadly my MOUTH gets to taste TURKEY *solely* on Christmas day	1416	0556	"<img src=""0552f.svg"">"	
焦	charred	char, hurry, impatient, irritate, burn, scorch, singe	When I put the TURKEY over the oven FIRE, it always ends up being *charred* beyond recognition	1414	0557	"<img src=""07126.svg"">"	
礁	Reefs	reef, sunken rock	"*Reefs* are often formed from volcanic STONE, or ""stone that has been CHARRED""."	2424	0558	"<img src=""07901.svg"">"	suspend_rare
集	gather	gather, meet, congregate, swarm, flock	the TURKEY *gather* on top of the TREE to hide from the hunters	131	0559	"<img src=""096c6.svg"">"	
准	quasi	quasi-, semi-, associate	the ICE-frozen TURKEY for the festivity is *quasi* the same thing as a fresh one	2341	0560	"<img src=""051c6.svg"">"	suspend_rare
進	advance	advance, proceed, progress, promote	the TURKEY cannot fly so long so it has to *advance* on the ROAD for a while	335	0561	"<img src=""09032.svg"">"	
雑	miscellaneous	miscellaneous	NINE *miscellaneous* birds are sitting on a TREE. the biggest one is a TURKEY	504	0562	"<img src=""096d1.svg"">"	
雌	feminine	feminine, female	Imagine a TURKEY walking in the snow (in the North pole for example) wearing SPOONS for snowshoes. Now you're looking down at the FOOTPRINTS and you think to yourself that those footprints look *feminine*: curvy and slender.	2328	0563	"<img src=""096cc.svg"">"	suspend_rare
準	semi	semi-, correspond to, proportionate to, conform, imitate	The TURKEY is only *semi*-done if WATER comes out when you poke it it with a NEEDLE.	512	0564	"<img src=""06e96.svg"">"	
奮	stirred up	stirred up, be invigorated, flourish	a LARGE TURKEY *stirred up* all the vegetables on the FIELD whilst running around	1303	0565	"<img src=""0596e.svg"">"	
奪	robbed	rob, take by force, snatch away, dispossess, plunder, usurp	there was a LARGE stuffed TURKEY GLUED to the entrance porch of my home - but someone *robbed* it	1405	0566	"<img src=""0596a.svg"">"	
確	assurance	assurance, firm, tight, hard, solid, confirm, clear, evident	you throw a STONE at the TURKEY which is impaled on a STICK with a CROWN on top to have *assurance* as to what you're seeing is real	129	0567	"<img src=""078ba.svg"">"	
午	noon	noon, rtk-primitive: horse, sign of the horse, 11AM-1PM	atomic	713	0568	"<img src=""05348.svg"">"	
許	permission	permit, approve	If HORSES could TALK, you might have to ask their *permission* before mounting them.	647	0569	"<img src=""08a31.svg"">"	
歓	delight	delight, joy	A LACK of FLYING HORSES is a *delight* to those on the ground who get hit with the flying horse poop.	1132	0570	"<img src=""06b53.svg"">"	
権	authority	authority, power, rights	the TREE has *authority* over the ground, and the PEGASUS over the air	422	0571	"<img src=""06a29.svg"">"	
観	outlook	outlook, look, appearance, condition, view	when riding the PEGASUS in the air, you can SEE a fantastic *outlook*	315	0572	"<img src=""089b3.svg"">"	
習	learning	learn	Imagine a WHITE bird loosing a couple FEATHERS as it is *learning* to fly.	420	0574	"<img src=""07fd2.svg"">"	
